name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
"Try A Tattoo Studio | Best Tattoo Artist in Rohini,New Delhi · Visited link","C, 5/37, Sector 6 Rd, Pocket D-6, Pocket 5, Sector 6, Rohini, Delhi, 110085",instagram.com,099112 33058,,4.9,28.7119059,77.0723837
Ink Mink Tattooz - Best Tattoo Artist in Rohini · Visited link,"M2K Cinemas, Shop No. 108, First Floor, Aggarwal City Plaza, Sector 3, Rohini, Delhi, 110085",inkminktattooz.com,097175 56727,,4.9,28.7119059,77.0723837
MU TATTOO STUDIO · Visited link,"Amba Tower, DC Chowk G. 36A, Sector-9 Rohini,, Delhi, 110085",,099116 56970,,4.8,28.7119059,77.0723837
MARVELOUS TATTOO VILLA · Visited link,"A3, 74, Pocket 3, Sector 16, Rohini, Delhi, 110089",,078380 09898,,4.9,28.7119059,77.0723837
Crystal tattoo studio,"A3, 74, Pocket 3, Sector 16, Rohini, Delhi, 110089",,078380 09898,,4.9,28.7119059,77.0723837
TATTOO SHOP · Visited link,"G-8/66, Pocket 8, Sector 16, Rohini, Delhi, 110089",instagram.com,070110 90334,,5,28.7361013,77.0841371
Inkhub Tattoo Studio · Visited link,"C7/84, opposite Woodland Showroom, Pocket 7, Sector 7, Rohini, Delhi, 110085",,084478 85150,,4.8,28.7064798,77.086685
I Like Tattoo · Visited link,"A, 47, Sunday bazaar road, near Malik property, Vijay Vihar Phase II, Gopal Vihar, Sector 1, Rohini, New Delhi, Delhi, 110085",,097175 29264,,5,28.7059843,77.0619798
Guns N Needles Tattoo Studio · Visited link,"136, Aggarwal City Plaza, Maharaja Agrasen Marg, Mangalam Place, Rohini, Delhi, 110085",,095820 79090,,4.4,28.7003748,77.0811838
Ink Addiction Tattoo · Visited link,"D, 7/223, Sector 6 Rd, Pocket 7, Sector 6D, Rohini, New Delhi, Delhi, 110085",,096504 08251,,4.9,28.7003748,77.0811838
K tattoos - Tattoos by Kiran | best tattoo artist in rohini | professional tattoo artist in delhi. · Visited link,"A- 77, 2nd Floor, Vijay Vihar Phase- 1 Near Rama Dairy, 40 Feet Road, Sunday, Shani Bazar Rd, Rohini, Delhi 110085",instagram.com,093544 42144,,4.9,28.7066511,77.0631265
Tattoo666 · Visited link,"shop no-G-88, M2K Cinemas, M2k, next to pizzahut, Sector 3, Rohini, Delhi, 110085",,095825 87812,,4.9,28.7066511,77.0631265
RJ Tattoos · Visited link,"Gate No.3, Metro Station, Shop No.18, 1st Floor, near Pitampura, DDA Market, Block FD, Pitampura, Delhi, 110034",,098118 31448,,4.8,28.7035198,77.0962254
J TATTOO · Visited link,"Shop No. 5, First Floor, D-14 /240, near Metro Pillar No. 412, Sector 7, Rohini, Delhi, 110085",,,,5,28.7035198,77.0962254
Skin With Ink · Visited link,"Shop no.66. Ground floor Garg Trade Center, G3S, Sector 11, Rohini, Delhi, 110085",,099901 93526,,5,28.7345213,77.0778347
Alwin Tattoos · Visited link,"A-4/180, Giani Gurumukhi Musaphir Marg, Pocket 4, Sector 17A, Rohini, Delhi, 110089",,099906 93469,,5,28.7345213,77.0778347
Meet Tattoo Arts · Visited link,"1st floor, B-688, Avantika Market Rd, Vijay Vihar Phase II, Avantika, Sector 1, Rohini, Delhi, 110085",,,,5,28.703266,77.0626145
TATTOOKAAR · Visited link,,tattookaar.com,095994 30969,,4.9,28.6440836,77.0566463
inktricktattoo · Visited link,"shop no.4, D-12/48, Sector 7, Rohini, New Delhi, Delhi 110085",,082870 30258,,4.9,28.7080569,77.0819052
Allegiant.ink.Tattoos · Visited link,"1201. first floor, near by bombay jewels, Main Market, Rani Bagh, New Delhi, Delhi 110034",,095994 63620,,4.9,28.7080569,77.0819052
Jk tattoo & nails · Visited link,"shop no 38, DDA market, AP Block, Block AP, Poorvi Pitampura, Pitampura, Delhi, 110034",,096253 03458,,5,28.7044118,77.1045816
"Circle Tattoo Delhi - Best Tattoo Studio in Punjabi Bagh, Delhi · Visited link","First floor, Shop, 26, Club Rd, next to Bikanervala, West Punjabi Bagh, Punjabi Bagh, Delhi, 110026",circletattoos.com,098722 41515,,4.9,28.6667201,77.0856924
Venom Tattoo & Nails · Visited link,"A, 1/8, Gadipura, Block J1, Budh Vihar Phase I, Budh Vihar, New Delhi, Delhi, 110086",,081781 11675,,4.9,28.7111866,77.0546833
MADDY SALON (Unisex) & TATTOO STUDIO · Visited link,"E-20/228, Pocket E 20, Sector 3, Sector 3E, Rohini, New Delhi, Delhi, 110085",instagram.com,070426 73341,,4.7,28.7111866,77.0546833
D Tattooz Studio · Visited link,"Pocket C, First Floor, Shop No.3, 7/61, Sector 7, Rohini, Delhi, 110085",instagram.com,087997 39493,,5,28.713226,77.0814141
Omi Infinite Ink Tattooz · Visited link,"Shop no-2 ground floor H-1/17, near by Taneja Clinic, Budh Vihar Phase I, Delhi, 110086",,096545 20193,,4.9,28.7095537,77.0536403
The dark ink tattoo studio · Visited link,"14 basement, Chander Lok, Pitampura, Delhi, 110034",instagram.com,083684 03785,,4.1,28.6898649,77.0995789
Cosset Ink · Visited link,"Shop No.23, balaji complex, Halar Rd, Pocket 9, Sector 8C, Rohini, Delhi, 110085",,087500 00298,,5,28.6898649,77.0995789
Gabbar ink · Visited link,"C-2/20, ground floor, near manav chowk, Sector 15, Pocket 2, Sector 15C, Rohini, Delhi, 110089",,,,5,28.7324626,77.0978527
Aliens Tattoo Delhi · Visited link,"Shop No.2, Basement, Club Rd, Commercial Market, Punjabi Bagh, New Delhi, Delhi 110026",alienstattoo.com,098330 65209,,4.9,28.666099,77.0895696
Tattoo Gizmo ( Tattoo Machine Specialist ),"Shop No.2, Basement, Club Rd, Commercial Market, Punjabi Bagh, New Delhi, Delhi 110026",alienstattoo.com,098330 65209,,4.9,28.666099,77.0895696
Ink hub by Gaurav Khurana · Visited link,"SHOP NO.9, DDA Market, A-1, A1 Block Paschim Vihar, A 2 Block, Paschim Vihar, New Delhi, Delhi, 110063",,099999 27563,,5,28.6741237,77.06048
AND TATTOO PIERCING STUDIO | BEST TATTOO PIERCING STUDIO DELHI · Visited link,"Shop No-b5 Basement, B-1 Market, Rd Number 30, Block A4, B 1 Block, Paschim Vihar, Delhi, 110063",,092055 32969,,4.9,28.6741237,77.06048
DEV TATTOO ZONE · Visited link,"Gate No. 3, Metro Station, C-135 Ramesh Nagar Behind Gola Associates Near, Ramesh Nagar, New Delhi, Delhi 110015",devtattoozone.com,093556 67135,,4.9,28.6522949,77.0954129
Tattoo Desire · Visited link,"3178, Rooftop, near Pawan projects, Mahindra Park, Rani Bagh, Pitampura, Delhi, 110034",,075031 59394,,4.9,28.6844895,77.0985708
The Rogue Tattoos · Visited link,"B- 1/18- B Paschim Vihar, New Delhi, Delhi 110063",roguetattoos.in,099719 47774,,4.7,28.6707898,77.0747942
KDzTattoos · Visited link,"J - 13/65 Basement Floor, Block J, Rajouri Garden Extension, Rajouri Garden, New Delhi, Delhi, 110027",kdztattoos.com,073939 22222,,4.8,28.6395926,77.0813763
Hide N Seek Tattoo Studio · Visited link,"UG 126-127, Garg Plaza, Plot no 24, Rani Bagh, Pitampura, Delhi, 110034",,096548 13181,,4.7,28.6876028,77.0980429
Tattoo Artist · Visited link,"Rithala Extension, Rithala, Rohini, Delhi, 110085",,,,,28.7191961,77.0646127
Sky tattoo studio,"Rithala Extension, Rithala, Rohini, Delhi, 110085",,,,,28.7191961,77.0646127
Ink Mink Tattooz · Visited link,"Anshul Plaza, Shop No. 4, First floor, near gufa mandir and D.A.V. Model school, Shalimar Bagh, Delhi, 110088",,,,5,28.705279,77.1254604
Funky Tattooz · Visited link,"C, 28/3, Nehru Rd, near Rajan Babu Road, Block C, Adarsh Nagar, Delhi, 110033",funkytattooz.com,099712 18913,,4.9,28.705279,77.1254604
Point Black Tattoo Studio · Visited link,"B-4 First Floor, above Rattan Diary, Shivaji Enclave, Market, New Delhi, Delhi 110027",,079824 54779,,4.9,28.6556444,77.0821538
Syahee Tattoos · Visited link,"23/2 A, Jail Rd, near Sukho Khalsa School, Prem Nagar, Tilak Nagar, Delhi, 110018",syaheetattoos.com,099115 62527,,4.9,28.6343438,77.0609154
Incredible Ink Tattoos and Training · Visited link,"oppst, Reliance Trends, Main Market, WZ-1059, Rani Bagh Rd, Multani Mohalla, Shakurpur, Delhi, New Delhi, Delhi 110034",,098994 73688,,4.7,28.6852848,77.0931047
Tattoo Work Shop · Visited link,"B-1/225, Main Market, Giani Gurumukhi Musaphir Marg, Sector17, Rohini, Delhi, 110089",,097119 19274,,4.1,28.7405629,77.0814011
Krijues Tattoos Best Tattoo Studio And Training institute · Visited link,"A, 77, Gurudwara Rd, near metro pillar no. 745, near Natkhat bakery, Mohan Garden, Nawada Extension, Uttam Nagar, New Delhi, Delhi, 110059",,093151 90918,,4.9,28.6217778,77.0051775
Meraki Tattooz · Visited link,"Aggarwal City Mall, G 93, near Chunmun & M2K, Saint Nagar Delhi, Rani Bagh, Pitampura, New Delhi, Delhi, 110034",,088268 86708,,4.7,28.6899261,77.0979072
Vikas tattoo mehandi artist · Visited link,"P4FH+246, Rohini Sector 13, Pocket 30/1, Sector 13, Rohini, Delhi, 110085",youtube.com,,,5,28.7225368,77.0917097
Trouvaille Tattooz · Visited link,"Shop no 2 & 3, 437/2, Main Road, near City Child Hospital, Block - C, Laxmi Vihar, Burari, New Delhi, Delhi, 110084",trouvailletattooz.in,080105 19151,,5,28.759777,77.1557644
Romee Tattoo Palace · Visited link,"3, Avantika Market Rd, Avantika, Sector 3, Rohini, Delhi, 110085",,,,,28.6989321,77.0606587
